ID,DateTimeStart,What,Where,Trig,Duration,S-P (s),FirstStation,RecordedOn,ROD__,FPS,TimeRef,M,Conf,Comments,,,,,,,,,,,,,,,,,,,,,
,2020-04-28 00:00:00.0,,,,,,,MSS1,,,,,,RFA Argus helicopter?,,,,,,,,,,,,,,,,,,,,,
,2020-05-05 12:48:00.0,VT,,,,,,,,,,,,Seems higher freq than usual,,,,,,,,,,,,,,,,,,,,,
,2020-05-06 10:16:58.0,VT string,,,,,,MSS1,,,,,,Seems higher freq than usual,,,,,,,,,,,,,,,,,,,,,
,2020-06-10 20:50:00.0,Lahar,,,25m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200617-0246,2020-06-17 02:46:04.5,Rockfall,,N,25s,,MSS1,"MSS1,MBGH,MBWH,MBHA,MBFL",y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-18 19:26:42.0,Rockfall,,,,,,all,,,,,,seems to arrive first at MBFL -m not sure if it is rockfall,,,,,,,,,,,,,,,,,,,,,
,2020-07-19 05:45:00.0,Lahar?,,,65m,,,MSS1,,,,,,probably noise (wind?),,,,,,,,,,,,,,,,,,,,,
20200721-1645,2020-07-21 16:45:38.3,Rockfall,Scar,,25s,,MSS1,"MSS1,MBLY,MBGH,MBRY,MBHA",y,,,,y,"Thermal anomaly seen on thermal cameras, some ash seen from Ops Room",,,,,,,,,,,,,,,,,,,,,
20200722-1420,2020-07-22 14:20:22.8,Rockfall,Scar,,50s,,MSS1,"MSS1,MBLY,MBWH,MBRY,MBHA,MBGH",y,,,,,Biggest rockfall for a while.,,,,,,,,,,,,,,,,,,,,,
20200722-1624,2020-07-22 16:24:53.8,Rockfall,Scar,N,12s,,MSS1,"MSS1,MBLY,MBWH,MBGH,MBHA",y,,,,,,,,,,,,,,,,,,,,,,,,,,
20200722-2006,2020-07-22 20:06:42.1,Rockfall,Scar,N,30s,,MSS1,"MSS1,MBGH,MBWH,MBRY",y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-23 20:11:00.0,VT string,,,,,,,,,,,,Events seem to have emergent onsets,,,,,,,,,,,,,,,,,,,,,
,2020-07-28 02:18:11.0,VT,,,,,,,,,,,,"Two events, approx 1 second apart",,,,,,,,,,,,,,,,,,,,,
,2020-09-08 17:50:03.0,VT,,,,,,all,,,,,,bad location due to missing MSS1 and horizontals,,,,,,,,,,,,,,,,,,,,,
,2020-08-10 14:25:00.0,,,,,,,all,,,,,,VLP rayleigh-wave like long waveform throughout WI,,,,,,,,,,,,,,,,,,,,,
20200815-0612,2020-08-15 06:12:04.8,Rockfall,,Y,40s,,MSS1,all,y,,,,,largest rockfall for a while (trigerred),,,,,,,,,,,,,,,,,,,,,
,2020-08-17 04:25:13.0,VT,,,,,,all,,,,,,"Strange looking VT, located very shallow",,,,,,,,,,,,,,,,,,,,,
20200824-2156,2020-08-24 21:56:12.1,Regional,Costa Rica,Y,,,,all,Y,,,6.0,,"Depth 20km, dist 2553km (23.0 deg). Nice T phase.",,,,,,,,,,,,,,,,,,,,,
,2020-09-02 05:52:42.0,Lightning,,,,,,most,,,,,,"acoustic signal - adam sees flash on MVO and GAR cameras, Venus confirms it is ligtning",,,,,,,,,,,,,,,,,,,,,
,2020-09-07 10:20:00.0,Lahar?,,,40m,,,some,,,,,,,,,,,,,,,,,,,,,,,,,,,
